ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,BMI
538,Jernej Abrami,M,31,175,70,Slovenia,SLO,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, Slalom",,22.857142857142858
549,Alen Abramovi,M,29,180,72,Croatia,CRO,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's Sprint,,22.22222222222222
549,Alen Abramovi,M,29,180,72,Croatia,CRO,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,,22.22222222222222
707,Urban Acman,M,24,180,83,Slovenia,SLO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,,25.61728395061728
1116,Eldijana Dana Aganovi (-Bentsen),F,24,173,59,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Women's Doubles,,19.713321527615356
1116,Eldijana Dana Aganovi (-Bentsen),F,28,173,59,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Women's Singles,,19.713321527615356
1116,Eldijana Dana Aganovi (-Bentsen),F,28,173,59,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Women's Doubles,,19.713321527615356
1555,Geard Ajetovi,M,19,170,67,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Welterweight,,23.18339100346021
2256,Vladan Alanovi,M,25,190,81,Croatia,CRO,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Silver,22.437673130193907
2256,Vladan Alanovi,M,29,190,81,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,,22.437673130193907
2516,Aleksandar Aleksi,M,20,188,89,Serbia,SRB,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",,25.18107741059303
2517,Milan Aleksi,M,26,193,96,Serbia,SRB,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Bronze,25.77250395983785
2517,Milan Aleksi,M,30,193,96,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold,25.77250395983785
2726,Hamza Ali,M,29,186,130,Bosnia and Herzegovina,BIH,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Shot Put,,37.57659845068794
2726,Hamza Ali,M,37,186,130,Bosnia and Herzegovina,BIH,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Shot Put,,37.57659845068794
2739,Mirko Alilovi,M,22,200,110,Croatia,CRO,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,,27.5
2739,Mirko Alilovi,M,26,200,110,Croatia,CRO,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Bronze,27.5
3659,Mario Ani,M,16,195,84,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Men's Doubles,,22.090729783037478
3659,Mario Ani,M,20,195,84,Croatia,CRO,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Singles,,22.090729783037478
3659,Mario Ani,M,20,195,84,Croatia,CRO,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Doubles,Bronze,22.090729783037478
4368,Franka Ani,F,21,181,67,Slovenia,SLO,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Women's Welterweight,,20.45114617990904
4637,Marija Anzulovi,F,31,178,65,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,,20.515086478979924
4846,Mate Arapov,M,24,181,84,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed One Person Dinghy,,25.640242971826257
4846,Mate Arapov,M,28,181,84,Croatia,CRO,2004 Summer,2004,Summer,Athina,Sailing,Sailing Mixed One Person Dinghy,,25.640242971826257
4847,Franjo Arapovi,M,27,211,120,Croatia,CRO,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Silver,26.953572471417985
